player_name;position;squad;age;born_year;match_played;minutes_played;minutes_per_match;first_eleven;90_mins_complated;points_per_match;yellow_card;red_card;second_yellow_card;fouls_committed;fouls_drawn;offsides;crosses;interceptions;tackles_won;own_goals;goals;assists;shots;shots_on_target;penalty_goals;penalty_attempts
Rashad Muhammed;FW;Erzurum BB;26;1993;13;668;51.0;8;0;1.0;1;0;0;23;8;5;9;3;3;0;1;0;17;7;0;0
Karlo Muhar;MF;Kayserispor;24;1996;16;1209;76.0;15;10;1.19;5;0;0;28;7;0;4;14;29;0;1;1;12;4;0;0
Paul Mukairu;MF;Antalyaspor;20;2000;3;135;45.0;2;0;1.33;1;0;0;5;4;0;0;0;1;0;0;0;0;0;0;0
Radosław Murawski;MF;Denizlispor;26;1994;32;2499;78.0;30;22;0.69;15;2;2;61;46;0;15;54;38;0;1;1;11;2;1;2
Georges-Kévin N'Koudou;MF;Beşiktaş;25;1995;32;1509;47.0;15;5;2.31;1;0;0;19;33;8;56;17;19;0;8;4;53;21;1;2
Fabrice N'Sakala;DF;Beşiktaş;30;1990;29;2352;81.0;26;23;2.03;5;1;1;25;37;3;84;32;38;0;1;1;4;2;0;0
Naldo;DF;Antalyaspor;31;1988;29;254;88.0;28;25;0.9;9;1;1;27;9;1;0;48;21;0;2;0;12;4;0;0
Stefano Napoleoni;MF.FW;Göztepe;34;1986;15;470;31.0;3;0;1.2;0;0;0;4;5;5;2;3;2;0;1;0;14;4;0;0
Umut Nayir;FW;Beşiktaş;27;1993;2;30;15.0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alassane Ndao;MF;Fatih Karagümrük;23;1996;38;3083;81.0;35;17;1.5;8;0;0;21;34;12;83;20;15;0;11;9;55;26;0;1
Badou Ndiaye;MF;Fatih Karagümrük;29;1990;14;1171;84.0;14;5;1.36;3;1;1;16;27;3;6;9;18;0;3;2;29;7;0;0
Cherif Ndiaye;FW.MF;Göztepe;24;1996;39;2791;72.0;31;21;1.23;3;0;0;58;81;18;15;18;16;0;10;1;42;20;0;1
Eric Ndizeye;DF;Yeni Malatyaspor;20;1999;2;26;13.0;0;0;2.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Casimir Ninga;MF.FW;Sivasspor;27;1993;16;467;29.0;5;0;1.31;1;0;0;15;4;1;22;6;5;0;0;0;8;4;0;0
Recep Niyaz;MF;Denizlispor;24;1995;28;1753;63.0;21;10;0.82;3;0;0;17;16;1;39;32;19;0;5;2;34;15;0;0
Filip Novák;DF;Fenerbahçe;30;1990;18;857;48.0;9;6;1.89;0;0;0;4;8;0;13;16;5;0;1;0;5;2;0;0
Arvydas Novikovas;MF.FW;Erzurum BB;29;1990;31;1967;63.0;22;9;1.06;3;0;0;34;25;3;101;19;5;0;4;4;52;21;2;2
Atınç Nukan;DF;Göztepe;27;1993;27;2337;87.0;26;24;1.44;4;0;0;12;8;0;3;41;13;0;2;2;9;4;0;0
Anthony Nwakaeme;MF;Trabzonspor;31;1989;34;2956;87.0;34;20;1.88;5;1;1;35;38;14;87;25;34;0;7;5;104;28;0;0
Obinna Nwobodo;MF;Göztepe;23;1996;31;2372;77.0;25;18;1.29;12;1;1;64;16;1;6;55;67;0;0;2;6;1;0;0
Gabriel Obertan;MF;Erzurum BB;31;1989;28;191;68.0;24;12;0.82;1;0;0;23;14;1;19;8;23;0;2;2;26;8;0;0
Alaaddin Okumuş;DF;Sivasspor;24;1995;4;105;26.0;1;1;2.5;0;0;0;1;0;0;3;5;3;0;0;0;0;0;0;0
Melih Okutan;FW;Kayserispor;24;1996;11;223;20.0;0;0;1.18;1;0;0;6;1;0;9;0;0;0;1;0;3;2;0;0
Paweł Olkowski;DF.MF;Gaziantep FK;30;1990;31;2551;82.0;28;25;1.45;4;0;0;22;21;1;44;51;34;0;0;1;13;2;0;0
